28,,Sports,How many assists does Wayne Gretzky have?
1,,History,Which era marked a switch from agricultural practices to industrial practices?
2,,Geography,"What United States city is known as '"The City of Fountains?"
3,,Nature,What is the deadliest creature in the world?
4,,Entertainment,What do Katniss and Peeta attempt to poison themselves with in The Hunger Games?
11,,Nature,How many hearts does an octopus have?
12,,Nature,What is the only animal that cannot jump?
13,,Nature,How much does a blue whale tongue weigh?
14,,Nature,What bird has the longest migration?
15,,Nature,What color is polar bear skin?
16,,History,What country has the worlds oldest parliament?
17,,History,What was the length of the shortest war in history?
18,,History,How many giant head statues are on Easter Island?
19,,History,How many people died of bubonic plague during the Middle Ages?
20,,History,What year was the Great Wall of China completed?
21,,Geography,What continent can be found in all four hemispheres?
22,,Geography,What mountain is closest to space?
23,,Geography,What continent has the largest desert?
24,,Geography,What is the lowest natural point on Earth?
25,,Geography,What country has the most islands?
26,,Geography,How much closer does Hawaii get to Alaska every year?
27,,Sports,"With 8000+ sports played around the world, how many are included in the Olympics?"
28,,Sports,"How many assists does Wayne Gretzky have?"
29,,Sports,Who is the silhouette on the official NBA logo?
30,,Sports,What did Babe Ruth wear under his cap for good luck?
31,,Sports,What country has the largest bowling alley?
32,,Entertainment,What year was the first moving picture?
33,,Entertainment,What is Chuck Norris's first name?
34,,Entertainment,Who is Mickey Mouse's sister?
35,,Entertainment,What is the most popular ballet in the world?
36,,Entertainment,How often is a new porn film made in the US?
37,,Geography,What percentage of the population lives in the northern hemisphere?
38,,Geography,What is the only sea with no coast?
39,,Geography,How much taller do the Himalayas get every year?
40,,Geography,What country is the most linguistically diverse in the world?
41,,Sports,How many stitches are on a baseball?
42,,Sports,What is the length of the longest successful shot in NBA history?
43,,Sports,What sport popularized identifying players by their jersey number?
44,,Sports,What was the first sport played on the moon?
45,,Sports,What was used as the first ever puck in a hockey game?
46,,Entertainment,What movie has a Starbucks cup in every scene?
47,,Entertainment,How many commercials does the average child see each year?
48,,Entertainment,What was the first music video to air on MTV by a black artist?
49,,Entertainment,What was Hitler's favorite movie?
50,,Entertainment,What is Tom Cruise's real name?
51,,History,"Prior to Covid19, what was the shortest record for a vaccine to be developed and licensed?"
52,,History,"Napoleon took 187,600 horses with his army as he rode into Russia in 1812, how many came back?"
53,,History,When was the first skyscraper built?
54,,History,What percentage of English brides in 1800 were pregnant at the altar?
55,,History,When was the first powered flight by the Wright Brothers?
56,,Nature,How long can a scorpion hold its breath?
57,,Nature,What percentage of a cat's bones are located in its tail?
58,,Nature,How many brains does an octopus have?
59,,Nature,What color is hippopotamus milk?
60,,Nature,What animal has the largest eyes in the world?
